#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
46,Slovakia,"1,791,124",+165,"20,114 ",+2,"1,769,239",+147,"1,771",17,"327,759","3,681","7,158,362","1,309,913","5,464,761 ",Europe,32721,30,0.4,324
47,Jordan,"1,697,271",,"14,068 ",,"1,682,962",,241,124,"163,211","1,353","16,834,239","1,618,794","10,399,246 ",Asia,67391,,,23
48,Georgia,"1,657,729",,"16,826 ",,"1,637,293",,"3,610",,"417,107","4,234","16,920,079","4,257,325","3,974,345 ",Asia,22360,,,908
49,Ireland,"1,570,519",,"7,383 ",,"1,545,500",,"17,636",22,"311,328","1,464","12,282,059","2,434,706","5,044,576 ",Europe,36830,,,"3,496"
50,Pakistan,"1,531,110",+73,"30,381 ",,"1,496,123",,"4,606",51,"6,680",133,"28,724,747","125,328","229,195,724 ",Asia,"1507,5448",0.3,,20
51,Norway,"1,436,598",,"3,210 ",,N/A,N/A,N/A,20,"261,042",583,"11,002,430","1,999,237","5,503,314 ",Europe,"41,7141",,,"244,296"
52,Singapore,"1,335,625",,"1,396 ",,"1,253,833",,"80,396",4,"224,874",235,"23,877,882","4,020,235","5,939,424 ",Asia,"44,2550",,,"13,536"
53,Kazakhstan,"1,305,837",,"13,662 ",,"1,292,089",,86,24,"67,971",711,"11,575,012","602,503","19,211,551 ",Asia,"151,4062",,,4
54,New Zealand,"1,233,450","+5,263","1,254 ",+7,"1,190,312","+6,390","41,884",,"246,586",251,"71,423,774","14,278,758","5,002,100 ",Australia/Oceania,"43,9890","1,052",1,"8,373"
55,Hong Kong,"1,217,510",,"9,390 ",,N/A,N/A,N/A,5,"159,889","1,233","49,428,776","6,491,196","7,614,741 ",Asia,68110,,,"156,918"
56,Morocco,"1,174,028",,"16,082 ",,"1,153,124",,"4,822",293,"31,094",426,"11,724,314","310,515","37,757,603 ",Africa,"322,3483",,,128
57,Bulgaria,"1,166,777",,"37,196 ",,"1,061,007",,"68,574",28,"170,401","5,432","10,043,671","1,466,824","6,847,223 ",Europe,61841,,,"10,015"
58,Croatia,"1,139,319",,"16,014 ",,"1,121,180",,"2,125",6,"280,878","3,948","4,901,202","1,208,302","4,056,272 ",Europe,42531,,,524
59,Finland,"1,114,573",,"4,714 ",,N/A,N/A,N/A,21,"200,557",848,"10,977,262","1,975,257","5,557,383 ",Europe,"51,1791",,,"191,432"
60,Cuba,"1,105,577",,"8,529 ",,"1,096,885",,163,23,"97,724",754,"13,852,049","1,224,411","11,313,233 ",North America,"101,3261",,,14
61,Lebanon,"1,100,007",,"10,437 ",,"1,086,833",,"2,737",186,"162,572","1,543","4,795,578","708,746","6,766,288 ",Asia,66481,,,405
62,Lithuania,"1,063,835",,"9,153 ",,"1,037,242",,"17,440",8,"401,628","3,456","9,989,932","3,771,484","2,648,807 ",Europe,22890,,,"6,584"
63,Tunisia,"1,043,540",,"28,648 ",,N/A,N/A,N/A,29,"86,543","2,376","4,640,840","384,875","12,058,053 ",Africa,124213,,,-983.91
64,Slovenia,"1,028,163",+342,"6,644 ",,"1,017,602",,"3,917",6,"494,430","3,195","2,673,070","1,285,444","2,079,491 ",Europe,23131,164,,"1,884"
65,Belarus,"982,867",,"6,978 ",,N/A,N/A,N/A,,"104,081",739,"13,220,483","1,399,985","9,443,306 ",Europe,"101,3531",,,"5,014"
66,Nepal,"979,242",,"11,952 ",,"967,181",,109,,"32,478",396,"5,725,215","189,882","30,151,358 ",Asia,"312,5235",,,4
67,Uruguay,"934,961",,"7,262 ",,"920,062",,"7,637",18,"267,358","2,077","6,114,822","1,748,572","3,497,037 ",South America,44821,,,"2,184"
68,Mongolia,"925,227",,"2,179 ",,N/A,N/A,N/A,192,"273,695",645,"4,030,048","1,192,146","3,380,498 ",Asia,"41,5511",,,"180,385"
69,UAE,"915,068",,"2,305 ",,"897,324",,"15,439",,"90,406",228,"164,645,922","16,266,524","10,121,764 ",Asia,"114,3910",,,"1,525"
70,Bolivia,"912,035",+400,"21,951 ",+1,"874,642",+467,"15,442",220,"76,122","1,832","2,705,422","225,804","11,981,303 ",South America,135464,33,0.08,"1,289"
71,Costa Rica,"904,934",,"8,525 ",,"860,711",,"35,698",52,"174,557","1,644","4,659,757","898,841","5,184,181 ",North America,66081,,,"6,886"
72,Panama,"887,637",,"8,295 ",,"852,523",,"26,819",16,"199,636","1,866","6,391,158","1,437,421","4,446,267 ",North America,55361,,,"6,032"
73,Ecuador,"887,478",,"35,652 ",,N/A,N/A,N/A,759,"48,865","1,963","2,470,170","136,010","18,161,737 ",South America,205097,,,"22,462"
74,Guatemala,"869,645",,"18,270 ",,"844,580",,"6,795",5,"46,863",985,"4,741,473","255,506","18,557,153 ",North America,"211,0164",,,366
75,Latvia,"830,281",,"5,837 ",,"822,254",,"2,190",6,"449,810","3,162","7,283,849","3,946,068","1,845,850 ",Europe,23160,,,"1,186"
76,Azerbaijan,"792,832",,"9,714 ",,"783,019",,99,,"76,854",942,"6,901,005","668,954","10,316,118 ",Asia,"131,0621",,,10
77,Saudi Arabia,"776,137",,"9,167 ",,"758,188",,"8,782",99,"21,641",256,"42,854,570","1,194,934","35,863,546 ",Asia,"463,9121",,,245
78,Sri Lanka,"663,922",,"16,518 ",,"646,977",,427,,"30,756",765,"6,486,117","300,463","21,587,070 ",Asia,"331,3073",,,20
79,Paraguay,"652,044",,"18,932 ",,"624,673",,"8,439",2,"89,295","2,593","2,646,163","362,381","7,302,167 ",South America,113863,,,"1,156"
80,Kuwait,"635,045",,"2,555 ",,"630,839",,"1,651",9,"144,563",582,"8,138,583","1,852,689","4,392,848 ",Asia,"71,7191",,,376
81,Myanmar,"613,427",,"19,434  ",,"592,401",,"1,592",,"11,130",353,"8,264,553","149,948","55,115,997 ",Asia,"902,8367",,,29
82,Bahrain,"593,654",,"1,489 ",,"585,287",,"6,878",4,"326,894",820,"9,898,981","5,450,840","1,816,047 ",Asia,"31,2200",,,"3,787"
83,Dominican Republic,"589,521",,"4,380 ",,"581,799",,"3,342",17,"53,309",396,"3,394,315","306,941","11,058,529 ",North America,"192,5253",,,302
84,Palestine,"582,495",,"5,356 ",,"576,993",,146,17,"109,266","1,005","3,078,533","577,480","5,330,974 ",Asia,99952,,,27
85,Estonia,"577,655",,"2,574 ",,"520,451",,"54,630",5,"434,895","1,938","3,386,999","2,549,948","1,328,262 ",Europe,25160,,,"41,129"
86,Venezuela,"524,152",,"5,723 ",,"517,339",,"1,090",230,"18,534",202,"3,359,014","118,777","28,279,991 ",South America,"544,9418",,,39
87,Moldova,"519,001",,"11,544 ",,"504,142",,"3,315",49,"129,239","2,875","3,216,305","800,909","4,015,816 ",Europe,83481,,,825
88,Egypt,"515,645",,"24,613 ",,"442,182",,"48,850",122,"4,861",232,"3,693,367","34,820","106,070,987 ",Africa,"2064,31029",,,461
89,Libya,"502,040",,"6,430 ",,"490,973",,"4,637",101,"71,189",912,"2,477,219","351,269","7,052,195 ",Africa,"141,0973",,,658
90,Cyprus,"491,777",,"1,067 ",,"124,370",,"366,340",60,"401,655",871,"9,477,138","7,740,382","1,224,376 ",Asia,"21,1470",,,"299,205"
91,Ethiopia,"477,742",,"7,516 ",,"456,587",,"13,639",22,"3,965",62,"4,975,718","41,301","120,475,818 ",Africa,"25216,02924",,,113
92,Honduras,"425,564",,"10,902 ",,"132,430",,"282,232",105,"41,683","1,068","1,385,329","135,689","10,209,589 ",North America,249367,,,"27,644"
93,Armenia,"423,006",,"8,629 ",,"412,661",,"1,716",,"142,236","2,902","3,109,931","1,045,719","2,973,965 ",Asia,73451,,,577
