S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
88,Lumbini General Insurance Co. Ltd.,58,449.90,436.20,439.00,6154.00,2701812.50,453.00,-14.00 ,                                             ,
89,Machhapuchhre Bank Limited,200,250.00,242.00,245.60,35033.00,8579457.90,250.00,-4.40 ,                                             ,
90,Madhya Bhotekoshi Jalavidyut Company Limited,190,263.00,253.00,255.00,11977.00,3076925.60,258.00,-3.00 ,                                             ,
91,Mahalaxmi Bikas Bank Ltd.,139,372.30,365.00,366.60,16659.00,6128111.80,371.00,-4.40 ,                                             ,
92,Mahila Lagubitta Bittiya Sanstha Limited ,30,3450.00,3370.00,3404.00,515.00,1755251.60,3397.00,7.00 ,                                            ,
93,Mahuli Laghubitta Bittiya Sanstha Limited,10,1092.00,1064.00,1064.00,223.00,241294.40,1082.00,-18.00 ,                                             ,
94,Mailung Khola Jal Vidhyut Company Limited,39,479.00,460.00,469.00,3139.00,1457619.60,485.00,-16.00 ,                                             ,
95,Manakamana Smart Laghubitta Bittiya Sanstha Limited,12,905.00,895.00,895.00,377.00,339705.70,900.00,-5.00 ,                                             ,
96,Manjushree Finance Ltd.,80,455.00,436.10,442.00,6577.00,2917510.00,448.00,-6.00 ,                                             ,
97,Manushi Laghubitta Bittiya Sanstha Limited,3,1129.50,1107.00,1107.00,30.00,33435.00,1152.50,-45.50 ,                                             ,
98,Mega  Bank Nepal Ltd.,615,230.00,223.00,226.00,140978.00,31844278.50,229.00,-3.00 ,                                             ,
99,Mega  Bank Nepal Ltd. Promoter Share,1,120.00,120.00,120.00,17752.00,2130240.00,120.00,0.00 ,                                            ,
100,Mega Mutual Fund -1,19,8.16,7.97,8.00,6175.00,49572.00,8.00,0.00 ,                                            ,
